Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Badminton duration (ms),Rowing machine duration (ms),Jogging duration (ms),Paced walking duration (ms)
2021-11-04,71,1857.143025197739,3860.0,11.0,6,66.24125874125875,131.0,46.0,,,,,1.726831384445654,2.7816505432128906,0.2842227518558502,5198,,,,,,615335,,,,,
2021-11-05,117,2012.9795258332301,6629.722862243652,53.0,27,71.14893617021276,122.0,46.0,,,,,1.5777537889164504,2.404226303100586,0.32871437072753906,8833,,,,,,3443016,145466,,,,
2021-11-06,184,2344.027077959206,12670.0,59.0,59,76.96428571428571,167.0,50.0,,,,,0.3692587316036225,0.4098031222820282,0.3287143409252167,15508,,,,,,1260517,,,,,
2021-11-07,45,1888.4799274105183,2831.6391410827637,3.0,2,66.21140939597315,99.0,46.0,,,,,1.0798541344515744,1.9703800678253174,0.3177572190761566,3987,,,,,,3647432,,,,,
2021-11-08,189,2461.310587901818,13191.91950416565,144.0,95,75.17482517482517,159.0,49.0,,,,,1.3912409784428619,2.9473469257354736,0.2930905520915985,16466,,,,,,5405992,1428171,,,,
2021-11-09,89,2077.6415942453286,7370.0,69.0,46,60.780701754385966,98.0,46.0,,,,,0.7320973322037615,2.187549591064453,0.3177572190761566,9488,,,,,,3078632,618364,,,,
2021-11-10,134,2034.457560877951,6540.0,69.0,41,,,,43.84901809692383,-79.33679962158203,43.85953140258789,-79.32386779785156,1.888016746059539,3.3502447605133057,0.2520143389701843,8339,,,,,,1073432,1850527,,,,
2021-11-11,62,1911.5735607347879,4250.0,32.0,17,,,,,,,,1.6195199622813086,2.9077069759368896,0.27392861247062683,5341,,,,,,1039519,719948,,,,
2021-11-12,16,1777.1640132305452,2114.794855117798,8.0,8,,,,,,,,0.86130015675819,1.7533018589019775,0.3122686743736267,2880,,,,,,1629791,,,,,
2021-11-13,11,1824.4895728546364,3660.0,4.0,2,,,,,,,,,,,5043,,,,,,256757,,,,,
2021-11-14,74,1834.188165453754,3530.0,24.0,24,,,,,,,,0.16683368009078858,2.569999933242798,0.010416666977107525,4302,,,,1285568,,490812,,,,,
2021-11-15,97,2036.0591298145837,7863.194770812988,58.0,37,,,,43.84952163696289,-79.33526611328125,43.858463287353516,-79.32349395751953,0.2757871861425718,11.630000114440918,0.0260416641831398,10762,,,,,,3822935,,,,,
2021-11-16,1,1757.9242436325828,2000.0,,,,,,,,,,0.12489630488863472,0.3333333134651184,0.0173611119389534,2789,,,,,,,,,,,
2021-11-17,30,1790.1582750832758,2696.435718536377,,,,,,,,,,0.18774892184076417,1.153213620185852,0.013605441898107529,3761,,,,,,1185399,,,,,
2021-11-18,13,1816.3766037780047,2900.0,7.0,5,,,,,,,,0.2066245511113201,1.9954416751861572,0.01773049682378769,3886,,,,,,768200,,,,,
2021-11-19,132,2099.2639095440873,8603.164161026478,61.0,36,,,,,,,,0.37097954571759184,2.7862184047698975,0.022435899823904037,11691,,,,,,4153512,132108,,,,
2021-11-20,17,1835.303417414143,3837.196300506592,,,,,,,,,,0.13908943610247662,0.7037327885627747,0.030701754614710808,5319,,,,,,713212,,,,,
2021-11-21,,1829.596097889916,3470.0,,,,,,,,,,0.13611949329100292,0.3120567500591278,0.02500000037252903,4778,,,,,,,,,,,
2021-11-22,19,1764.8805083235416,2210.0,1.0,1,,,,,,,,0.18740518817461094,0.5277777910232544,0.014367816969752312,3071,,,,,,,,,,,
2021-11-23,51,1868.170767243347,4074.4073333740234,8.0,6,,,,,,,,0.26475145465661465,1.7998604774475098,0.0317460335791111,5517,,,,,,1628982,236174,,,,
2021-11-24,69,1842.5181612820022,3849.789670944214,28.0,19,,,,43.850101470947266,-79.32656860351562,43.856842041015625,-79.32361602783203,0.24340443303993822,1.7893284559249878,0.016339870169758797,5304,,,,,,2094959,,,,,
2021-11-25,1,1751.76134493011,2050.0,,,,,,,,,,0.09315037480508861,0.8415173888206482,0.007407407276332378,2786,,,,,,221674,,,,,
2021-11-26,67,1886.4358649298915,4241.617910385132,6.0,5,,,,,,,,0.1685697098260248,1.8608227968215942,0.016025641933083534,5881,,,,,,4649684,,,,,
2021-11-27,3,1721.765257880037,1390.0,,,,,,,,,,0.0929953597531415,0.4999999701976776,0.010204081423580647,1933,,,,,,,,,,,
2021-11-28,105,1594.4379036481992,6073.082551956177,59.0,42,,,,,,,,0.3102484020734767,1.9670474529266357,0.01666666753590107,8396,,,,,,5235747,,,,,
2021-11-29,,,63.1131591796875,,,,,,,,,,0.30132147675899634,0.32871437072753906,0.27392861247062683,110,,,,,,,,,,,
2021-11-30,,1682.0,10.0,,,,,,,,,,0.011111111380159855,0.011111111380159855,0.011111111380159855,20,,,,,,,,,,,
2021-12-01,18,1741.937519655797,1060.0,,,,,,,,,,,,,1378,,,,,,,,,,,
2021-12-02,41,1813.7778062582631,2538.8910689353943,29.0,20,,,,,,,,1.187228628542231,2.0284595489501953,0.3287143409252167,3414,,,,,,2200191,237235,,,,
